parid,elev
3410271,20
3409728,20
3410017,20
3409744,15
3410289,15
3410297,20
3410301,10
3409752,15
3409752,15
3410025,20
3410319,15
3409761,15
3410327,15
3409779,15
3410335,10
3409787,15
3409795,15
3410343,10
3410033,20
3409809,15
3409817,15
3409833,20
3410343,10
3410351,20
3410394,5
3410408,10
3409833,20
3410041,20
3409833,20
3409841,15
3410432,15
3410441,15
3409850,15
3410459,15
3410467,15
3409868,20
3409876,20
3409884,20
3410050,20
3409892,20
3410475,15
3410483,15
3409906,15
3410491,15
3410505,15
3409914,10
3409922,15
3410513,10
3410068,20
3410521,10
3409931,15
3410530,10
3410076,15
3409949,20
3410548,10
3409957,20
3410556,10
3410564,15
3410581,20
3410599,20
3409965,20
3409973,20
3410602,20
3410084,15
3410611,20
3409981,20
3409990,20
3410629,20
3410637,20
3410645,20
3410009,20
3410866,15
3410092,15
3410653,20
3410874,20
3410661,15
3410882,20
3410670,15
3410688,10
3410891,15
3410696,10
3410912,15
3410700,10
3410106,15
3410718,10
3410921,15
3410939,15
3410947,15
3410955,15
3410726,10
3410734,10
3410114,15
3410963,10
3410971,10
3410980,10
3410742,15
3410751,15
3410998,15
3411005,15
3411013,15
3410769,15
3410122,15
3411021,20
3410777,15
3411030,20
3411048,20
3410785,15
3410793,15
3411056,20
3411064,20
3410807,10
3410131,15
3411072,20
3411081,20
3411099,15
3410815,10
3410823,10
3410831,10
3411129,20
3411102,20
3411137,15
3410149,15
3411111,20
3412141,15
3411307,10
3411145,15
3411315,15
3411153,15
3411323,15
3410157,10
3411331,15
3411340,15
3411161,15
3411170,20
3411358,15
3411188,20
3410165,15
3411374,15
3411196,20
3411200,20
3411218,20
3411382,15
3411391,15
3411226,20
3410173,15
3411234,20
3411242,20
3411404,15
3411498,15
3412150,15
3411251,20
3411269,20
3410181,15
3411277,15
3411285,15
3411412,15
3411293,10
3410190,10
3411421,20
3411501,15
3411510,15
3411439,15
3411447,15
3411455,15
3410203,15
3411528,15
3411463,15
3411536,15
3411544,15
3410211,15
3411552,15
3411561,15
3411471,15
3411480,15
3411579,15
3412168,15
3410220,15
3411587,15
3411595,15
3411633,15
3411609,15
3411617,15
3411625,15
3411641,15
3411731,15
3410238,20
3411668,15
3411676,15
3410246,15
3411684,15
3411749,15
3411757,15
3411765,15
3411692,15
3411773,20
3410254,20
3411706,15
3411781,20
3411714,15
3410262,15
3411722,15
3411790,20
3411803,20
3411811,20
3410262,15
3411854,20
3412176,15
3411862,20
3411871,15
3411889,15
3411897,15
3412184,20
3411901,15
3410572,15
3412192,20
3411919,15
3411927,15
3411935,15
3412206,20
3412214,15
3412222,20
3412273,10
3412401,15
3411943,15
3411951,15
3411960,15
3411978,15
3412281,15
3411986,15
3411994,15
3412001,15
3412290,15
3412419,15
3412303,15
3412010,20
3412311,15
3412028,20
3412036,20
3412044,20
3412320,10
3412427,20
3412338,15
3412052,15
3412346,15
3412354,15
3412061,15
3412362,15
3412435,20
3412371,15
3412389,10
3412079,15
3412087,15
3412095,15
3412109,15
3412699,15
3412443,20
3412117,15
3412125,15
3412133,15
3412702,15
3412711,20
3413008,15
3413016,15
3413024,15
3412451,20
3412729,15
3412737,15
3413032,15
3412745,15
3413041,15
3413059,15
3413067,15
3412753,15
3412460,20
3413075,15
3413083,15
3412761,15
3412770,15
3412788,15
3412478,15
3412796,15
3413091,15
3413105,15
3412800,15
3412826,15
3412834,15
3413113,15
3412842,15
3412486,15
3412851,15
3412869,20
3413121,15
3413130,15
3413148,10
3412877,20
3412885,20
3412893,20
3412494,15
3412907,20
3413156,10
3412915,15
3413164,10
3413172,15
3412923,15
3413181,15
3413199,15
3412931,15
3412508,20
3412940,15
3413202,15
3412958,15
3412966,15
3413211,15
3412974,15
3412516,20
3413229,15
3412982,15
3413237,15
3412991,20
3413245,15
3413253,15
3413270,15
3412524,15
3413288,15
3413296,15
3413261,15
3413555,15
3413563,15
3413300,10
3413571,20
3413318,10
3412559,20
3413326,10
3413334,10
3413580,15
3413342,10
3413598,15
3413601,15
3413610,10
3413351,10
3412567,15
3413628,10
3413636,10
3413644,15
3413652,15
3413369,5
3413661,15
3412575,15
3413679,15
3413393,10
3413687,15
3413407,15
3413415,15
3413423,15
3413695,15
3413440,15
3412583,10
3413458,15
3413466,15
3413709,20
3413474,15
3413482,15
3413504,15
3413504,15
3412591,20
3413512,10
3413717,20
3413521,15
3413725,20
3413733,20
3413741,15
3413539,15
3413547,15
3413831,15
3412605,20
3413750,15
3413768,15
3413776,15
3413784,15
3413849,15
3413857,15
3413792,15
3413806,15
3412613,15
3413814,15
3413865,15
3413822,15
3414063,10
3413873,15
3414063,10
3414080,15
3414098,20
3412621,15
3413881,15
3413890,15
3414101,15
3414110,15
3413903,15
3413911,15
3413920,15
3414128,20
3412630,15
3414136,10
3413938,15
3413946,20
3414144,20
3414152,10
3413954,20
3414161,10
3413962,20
3412648,15
3413971,20
3414179,20
3413989,20
3414187,20
3413997,20
3414004,20
3414012,20
3414217,15
3412656,15
3414021,20
3414039,20
3414047,20
3414225,15
3414233,15
3414055,20
3414241,15
3414250,15
3414365,15
3412664,15
3414373,15
3414381,20
3414268,15
3414390,20
3414276,15
3414403,20
3412672,15
3414284,15
3414411,20
3414284,15
3414292,15
3414420,20
3414306,15
3414314,15
3414322,15
3414438,20
3412681,15
3414446,20
3414331,15
3414454,20
3414349,15
3414462,20
3414471,20
3414357,15
3414977,20
3414659,20
3414489,20
3414497,20
3414519,20
3414527,20
3414985,20
3414993,15
3414667,20
3414535,15
3414543,15
3414551,20
3415001,15
3415019,15
3415027,15
3414560,15
3414675,20
3414578,15
3415035,15
3414586,15
3414594,15
3415043,20
3415051,20
3415060,15
3414608,15
3414616,15
3414683,20
3415078,15
3415086,15
3414624,15
3414632,20
3414641,20
3415248,20
3415094,15
3415256,20
3414691,20
3415108,15
3415264,15
3415108,15
3415116,20
3415272,15
3415124,20
3415299,15
3415302,15
3415132,20
3414705,20
3415311,15
3415337,15
3415141,20
3415159,20
3415345,15
3415167,20
3415175,20
3414713,20
3415183,20
3415353,15
3415191,20
3415361,15
3415370,15
3415205,20
3415396,15
3414721,20
3415213,20
3415221,15
3415400,15
3415400,15
3415426,15
3415230,15
3415540,20
3415558,20
3414730,25
3415566,10
3415434,15
3415574,10
3415442,15
3415451,15
3415469,15
3414748,25
3415582,10
3415477,15
3415485,15
3415591,10
3415604,5
3415485,15
3414756,20
3415612,10
3415621,20
3415639,20
3415493,15
3415507,15
3415647,15
3414764,20
3415515,15
3415655,15
3415663,20
3415523,15
3415671,25
3415531,15
3415698,15
3415817,15
3414772,20
3415698,15
3415701,15
3415825,15
3415710,15
3415833,15
3415841,15
3415728,15
3414781,25
3415744,15
3415850,15
3415752,15
3415868,15
3415761,15
3415787,15
3415795,15
3415876,15
3415884,15
3414799,25
3415892,15
3415809,15
3416082,15
3415906,15
3416091,15
3414802,20
3416104,15
3416112,20
3415914,15
3415922,15
3416121,20
3415931,15
3414811,15
3416139,20
3415949,15
3416147,20
3416155,20
3415957,15
3414829,15
3416163,20
3415965,15
3415981,20
3415990,20
3416171,20
3416007,20
3416015,20
3416180,20
3414837,15
3416023,20
3416198,20
3416201,15
3416210,15
3416031,20
3416503,45
3416040,20
3416511,30
3414845,15
3416058,20
3416643,15
3416651,15
3416066,20
3416074,20
3416660,15
3416678,10
3417828,20
3414853,15
3416686,10
3416694,10
3416708,10
3417836,20
3416716,10
3417852,20
3417861,20
3417879,20
3414861,15
3417879,20
3416724,10
3416732,15
3417917,20
3416741,20
3417925,20
3416759,20
3414870,15
3416767,20
3416775,15
3417968,20
3416783,15
3416791,15
3417976,20
3418026,15
3416805,15
3418034,15
3414888,15
3416813,15
3416821,20
3416830,20
3418042,15
3418051,15
3416848,20
3414896,20
3418069,15
3418077,15
3416856,15
3416864,15
3416872,15
3418093,15
3418107,15
3414900,20
3418115,15
3418123,15
3416881,15
3418336,15
3418131,5
3418344,20
3418140,15
3418158,15
3418352,20
3418361,15
3418379,15
3414918,15
3418166,15
3418174,15
3418182,10
3418191,15
3418387,15
3418395,15
3418204,15
3418212,15
3418221,15
3418239,15
3418409,15
3414926,15
3418417,15
3418425,15
3418433,15
3418247,5
3418441,20
3418255,5
3414934,15
3418450,15
3418468,15
3418271,15
3418271,15
3418280,15
3418476,20
3418484,15
3414942,20
3418298,20
3418492,15
3418301,15
3418506,15
3418310,15
3418620,10
3418514,15
3418522,15
3418531,20
3414951,20
3418638,10
3418549,20
3418646,10
3418654,15
3418557,15
3418662,20
3418671,15
3418573,10
3418581,15
3414969,20
3418590,20
3418689,20
3418697,15
3418603,15
3418611,15
3419260,15
3419278,15
3418701,15
3418913,15
3419294,15
3418719,15
3418727,15
3419316,15
3418735,15
3419332,20
3419341,20
3418948,15
3419375,20
3418743,15
3419383,15
3418751,15
3419391,15
3418760,15
3419405,15
3419413,15
3419421,15
3418956,15
3418778,15
3419430,15
3419448,15
3419456,15
3418786,20
3419464,15
3419472,20
3419481,20
3418964,15
3418794,20
3418808,20
3419499,15
3419502,15
3419511,15
3418816,20
3419529,15
3419537,15
3418972,10
3419545,15
3418832,10
3418841,10
3419553,15
3419561,15
3418859,15
3418972,10
3418867,10
3419596,15
3418875,10
3418883,15
3419600,15
3418981,15
3418905,15
3419570,15
3419863,15
3419871,20
3419880,20
3419618,20
3419626,20
3419898,20
3418981,15
3419901,20
3419634,15
3419910,20
3419642,15
3419928,20
3419936,15
3419944,15
3419651,15
3419952,15
3419014,15
3419961,15
3419669,15
3419979,15
3419987,15
3419995,15
3419677,15
3419685,15
3419693,15
3419022,15
3420004,15
3420012,15
3419707,15
3419715,15
3420021,15
3419723,15
3420039,25
3419031,15
3419731,15
3420047,25
3419740,15
3420055,25
3420063,20
3419758,15
3419766,20
3419049,15
3420071,25
3419774,20
3420080,25
3419782,15
3420098,25
3419791,15
3420101,25
3419057,15
3420110,25
3419804,15
3419812,15
3420128,25
3419821,20
3420136,25
3420144,25
3420152,25
3419081,15
3420161,25
3419839,20
3420179,20
3420187,20
3419847,15
3419855,15
3420390,10
3420403,10
3420411,10
3420195,20
3419090,10
3420420,15
3420209,20
3420217,20
3420438,10
3420446,10
3420225,25
3420233,20
3420241,20
3419103,15
3420454,15
3420250,20
3420462,15
3419111,15
3420268,15
3420471,10
3420489,10
3420276,15
3420284,15
3420292,15
3420497,10
3420501,10
3419120,20
3420306,15
3420314,15
3420519,10
3420527,20
3420322,10
3420331,10
3420349,15
3419146,10
3420535,20
3420543,20
3420357,15
3420365,15
3420551,20
3420560,20
3420373,15
3420578,20
3420586,15
3419154,15
3420381,15
3420594,15
3421272,20
3420608,15
3420641,15
3420616,15
3420659,15
3420624,15
3419162,20
3420659,15
3420659,15
3420675,20
3420632,15
3420942,20
3420951,20
3420969,20
3420691,20
3420705,20
3419189,15
3420977,20
3420985,20
3420993,20
3420713,20
3421001,20
3420721,15
3421019,15
3419227,15
3421027,15
3420730,15
3420748,15
3421035,15
3420756,15
3421043,15
3420764,15
3419235,15
3421051,15
3420772,15
3421060,15
3420781,15
3421078,15
3420799,15
3420802,15
3419243,10
3420811,15
3421086,15
3421094,20
3420829,15
3420837,20
3421108,20
3420845,20
3421116,15
3420853,20
3419588,15
3420861,15
3420870,15
3420888,15
3421116,15
3420896,15
3420900,15
3420918,15
3421299,20
3421167,20
3420926,15
3421175,15
3420934,15
3421183,15
3421523,15
3421191,15
3421345,20
3421531,15
3421205,15
3421540,15
3421558,15
3421213,15
3421566,15
3421221,15
3421230,15
3421574,15
3421353,15
3421582,15
3421248,20
3421256,20
3421264,20
3421787,15
3421591,15
3421604,15
3421612,15
3421795,15
3421621,15
3421361,15
3421639,15
3421809,15
3421817,15
3421825,15
3421647,15
3421655,15
3421833,15
3421370,15
3421841,15
3421663,15
3421850,15
3421671,15
3421868,15
3421680,15
3421388,15
3421701,15
3421876,15
3421884,15
3421710,15
3421892,15
3421728,15
3421906,15
3421396,15
3421914,15
3421736,15
3421744,15
3421922,15
3421931,15
3421752,15
3421400,20
3421761,15
3421779,15
3422007,15
3421949,15
3422015,15
3422023,15
3421957,15
3422031,15
3421418,15
3422040,15
3422058,15
3421965,15
3421973,15
3422066,15
3421981,15
3421990,15
3422074,15
3421426,15
3422201,10
3422082,15
3422091,15
3422210,10
3422104,15
3422228,10
3421434,15
3422112,15
3422228,10
3422121,15
3422139,10
3422236,15
3422147,10
3422155,10
3421442,15
3422163,10
3422244,10
3422252,10
3422171,15
3422261,10
3422180,10
3422198,10
3422422,10
3421451,15
3422279,5
3422431,10
3422449,15
3422287,5
3422295,10
3422309,10
3422457,15
3422465,15
3421469,15
3422473,15
3422317,10
3422546,15
3422325,10
3422333,10
3422341,15
3422350,10
3421477,15
3422554,15
3422562,15
3422368,10
3422571,15
3422376,10
3421485,15
3422589,15
3422597,15
3422384,10
3422601,15
3422392,5
3422406,10
3422619,15
3422414,10
3422627,15
3421493,20
3422759,20
3422635,15
3422643,10
3423755,25
3423763,10
3422660,5
3423771,10
3422678,10
3423798,10
3421507,15
3424999,10
3422686,15
3422694,15
3422708,15
3425006,10
3425014,10
3425022,10
3422716,15
3421515,15
3425031,10
3425049,10
3425057,10
3422724,25
3422732,25
3425146,15
3425065,10
3425405,15
3425413,15
3425421,15
3425430,15
3425073,10
3425081,10
3425448,10
3425456,10
3425090,15
3425154,15
3425103,10
3425111,15
3425464,10
3425472,10
