parid,elev
3387660,15
3397916,15
3396391,15
3396413,15
3397967,15
3397991,15
3398025,20
3396421,15
3396456,15
3387678,15
3398068,20
3396472,15
3396570,15
3396723,15
3398114,20
3398131,15
3396731,15
3396812,15
3387724,15
3396812,15
3398149,15
3398165,15
3396910,15
3398165,15
3396961,15
3396979,15
3398297,20
3397002,15
3397045,15
3387783,10
3397495,15
3398351,15
3398459,20
3397509,15
3398548,15
3397525,15
3397550,15
3398556,15
3387805,10
3397673,15
3398629,15
3399013,15
3399048,15
3398823,20
3399463,15
3398874,20
3398912,20
3387805,10
3399595,15
3399617,15
3398980,15
3400879,15
3399625,10
3399676,10
3400968,15
3388283,15
3399676,10
3399722,20
3400984,15
3399862,20
3401034,15
3400071,15
3388542,15
3401051,15
3400071,15
3400216,20
3400348,15
3401280,15
3401484,10
3388542,15
3401565,15
3400356,15
3401565,15
3401603,15
3400453,20
3401727,15
3400488,15
3400534,20
3401883,15
3388569,15
3401913,20
3401948,20
3400593,20
3400712,15
3400712,15
3402073,10
3400810,15
3402120,15
3388798,15
3400852,15
3402171,15
3402227,15
3402260,20
3400861,15
3402294,15
3403941,15
3404157,15
3402359,20
3389077,15
3402448,15
3402472,15
3404254,15
3404297,10
3402502,15
3404335,15
3389115,15
3402677,20
3402693,15
3404505,15
3404581,10
3402707,15
3404874,10
3402782,15
3405552,20
3403037,15
3404963,15
3404980,20
3403151,15
3405072,20
3405331,10
3403169,15
3403231,20
3405391,15
3403240,20
3403304,20
6617261,20
3403461,15
3405391,15
3405404,15
3409752,15
3405447,15
3405447,15
3403541,20
3403584,15
3403614,15
3403681,15
3405528,15
3405536,15
3403703,15
3403819,20
3403851,15
3403908,15
3409841,15
3415159,20
3405552,20
3411412,15
3413113,15
3413130,15
3413172,15
3411412,15
3413181,15
3409876,20
3413229,15
3413245,15
3411714,15
3413555,15
3411714,15
3413563,15
3413717,20
3410068,20
3411757,15
3412028,20
3413741,15
3412028,20
3413792,15
3413857,15
3410572,15
3412222,20
3413857,15
3413890,15
3412508,20
3413938,15
3410581,20
3412681,15
3413954,20
3412966,15
3414004,20
3410602,20
3414217,15
3414462,20
3414357,15
3414497,20
3418450,15
3418531,20
3418557,15
3418719,15
3414560,15
3414586,15
3418719,15
3420764,15
3418883,15
3410742,15
3419049,15
3414756,20
3414799,25
3419456,15
3414802,20
3414985,20
3419511,15
3415221,15
3415507,15
3415515,15
3410831,10
3415647,15
3419553,15
3415647,15
3419570,15
3419588,15
3415892,15
3419618,20
3415981,20
3419707,15
3410921,15
3419782,15
3419901,20
3416091,15
3416104,15
3419928,20
3419928,20
3418115,15
3411013,15
3418115,15
3420098,25
3418140,15
3420217,20
3418271,15
3420276,15
3418361,15
3418425,15
3411137,15
3420322,10
3420373,15
3420616,15
3422015,15
3422074,15
3422121,15
3420713,20
3420772,15
3422171,15
3411153,15
3420811,15
3422198,10
3420942,20
3420951,20
3422350,10
3421108,20
3422422,10
3422601,15
3422627,15
3421191,15
3411315,15
3421191,15
3422678,10
3421264,20
3424999,10
3421370,15
3425260,10
3421540,15
3425332,20
3411382,15
3421710,15
3425341,15
3425570,15
3421787,15
3421850,15
3425618,10
3426045,20
3421922,15
3426142,20
3421957,15
3426231,20
3446593,30
3421990,15
3422007,15
3422015,15
3426266,20
3426274,20
3426576,20
3295901,10
3464176,10
